time,open,high,low,close,Plot,New Moon,First Moon,Waning,Full Moon,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars
1718031600,2302.8,2304.87,2301.42,2304.55,2300.365,NaN,NaN,NaN,NaN,2301.313554699743,2321.1351064485634,0,0,0,0,0,0
1718032500,2304.56,2306.31,2304.17,2304.5,2300.365,NaN,NaN,NaN,NaN,2301.4385133389687,2320.969583001314,0,0,0,0,0,0
1718033400,2304.51,2308.72,2303.88,2308.61,2301.48,NaN,NaN,NaN,NaN,2301.7197481099897,2320.8466020759274,0,0,0,0,0,0
1718034300,2308.62,2308.62,2305.77,2307.46,2301.755,NaN,NaN,NaN,NaN,2301.944856027245,2320.713402055271,0,0,0,0,0,0
1718035200,2307.46,2310.15,2307.08,2309.79,2302.435,NaN,NaN,NaN,NaN,2302.2525087320587,2320.604711487557,0,0,0,0,0,0
1718036100,2309.78,2313.07,2309.04,2312.73,2304.23,NaN,NaN,NaN,NaN,2302.663390742566,2320.526356149372,0,0,0,0,0,0
1718037000,2312.79,2313.8,2310.47,2311.07,2304.715,NaN,NaN,NaN,NaN,2302.993061693838,2320.4322630533584,0,0,0,0,0,0
1718037900,2311.06,2313.81,2310.99,2313,2304.7200000000003,NaN,NaN,NaN,NaN,2303.385490647021,2320.358310187156,0,0,0,0,0,0
1718038800,2313,2313.32,2311.3,2312.21,2304.98,NaN,NaN,NaN,NaN,2303.731549837334,2320.2772324738507,0,0,0,0,0,0
1718039700,2312.21,2312.52,2309.31,2309.51,2305.88,NaN,NaN,NaN,NaN,2303.9581557260663,2320.17009583232,0,0,0,0,0,0
1718040600,2309.54,2312.6,2309.2,2312.3,2306.2799999999997,NaN,NaN,NaN,NaN,2304.285286874064,2320.0917864210533,0,0,0,0,0,0
1718041500,2312.29,2313.45,2311.94,2311.95,2306.2799999999997,NaN,NaN,NaN,NaN,2304.5858638593945,2320.010773620844,0,0,0,0,0,0
1718042400,2312.02,2312.04,2310.14,2311.45,2306.495,NaN,NaN,NaN,NaN,2304.85504566883,2319.9255917937708,0,0,0,0,0,0
1718043300,2311.44,2311.48,2310.24,2310.88,2307.13,NaN,NaN,NaN,NaN,2305.091318387699,2319.8355859052754,0,0,0,0,0,0
1718044200,2310.87,2311.83,2310.6,2311.81,2307.13,NaN,NaN,NaN,NaN,2305.3547960979854,2319.7557293291034,0,0,0,0,0,0
1718045100,2311.79,2311.79,2310.01,2311.02,2307.13,NaN,NaN,NaN,NaN,2305.576960956888,2319.668806649212,0,0,0,0,0,0
1718046000,2311.04,2312.32,2310.93,2311.81,2307.13,NaN,NaN,NaN,NaN,2305.8213938605395,2319.5906095681253,0,0,0,0,0,0
1718046900,2311.82,2312.22,2311.25,2311.31,2307.13,NaN,NaN,NaN,NaN,2306.036633316989,2319.5082154430693,0,0,0,0,0,0
1718047800,2311.31,2311.6,2310.86,2311.26,2307.13,NaN,NaN,NaN,NaN,2306.2414712261266,2319.426143647616,0,0,0,0,0,0
1718048700,2311.27,2311.79,2308.78,2308.88,2307.13,NaN,NaN,NaN,NaN,2306.344942942749,2319.3212068949033,0,0,0,0,0,0
1718049600,2308.86,2309.61,2308.86,2309.14,2307.13,NaN,NaN,NaN,NaN,2306.454553023426,2319.2199013536606,0,0,0,0,0,0
1718050500,2309.19,2310.21,2308.55,2309.91,2307.615,NaN,NaN,NaN,NaN,2306.5900607479975,2319.1272655192956,0,0,0,0,0,0
